t,temp,humd
114556,25.8,39.6
114557,25.7,39.6
114558,25.8,39.6
114559,25.7,39.6
114600,25.7,39.6
114601,25.7,39.6
114602,25.7,39.6
114603,25.7,39.5
114604,25.7,39.5
114605,25.7,39.5
114606,25.7,39.5
114607,25.7,39.6
114608,25.7,39.6
114609,25.7,39.6
114611,25.7,39.6
114612,25.7,39.6
114613,25.7,39.6
114614,25.7,39.6
114615,25.7,39.6
114616,25.7,39.7
114617,25.7,39.7
114618,25.7,39.7
114619,25.7,39.7
114620,25.7,39.7
114621,25.7,39.6
114622,25.7,39.5
114623,25.7,39.5
114624,25.7,39.6
114625,25.7,39.6
114626,25.7,39.6
114628,25.7,39.6
114629,25.7,39.6
114630,25.7,39.7
114631,25.7,39.7
114632,25.7,39.7
114633,25.7,39.8
114634,25.7,39.8
114635,25.7,39.8
114636,25.7,39.8
114637,25.7,39.8
114638,25.7,39.8
114639,25.7,39.8
114640,25.7,39.8
114641,25.7,39.8
114642,25.7,39.7
114643,25.7,39.7
114645,25.7,39.7
114646,25.7,39.7
114647,25.7,39.7
114648,25.7,39.7
114649,25.7,39.7
114650,25.7,39.7
114651,25.7,39.7
114652,25.7,39.7
114653,25.7,39.7
114654,25.7,39.7
114655,25.7,39.7
114656,25.7,39.7
114657,25.7,39.7
114658,25.7,39.8
114659,25.7,39.8
114700,25.7,39.8
114702,25.7,39.8
114703,25.7,39.8
114704,25.7,39.8
114705,25.7,39.7
114706,25.7,39.7
114707,25.7,39.7
114708,25.7,39.7
114709,25.7,39.7
114710,25.7,39.7
114711,25.7,39.7
114712,25.7,39.7
114713,25.7,39.7
114714,25.7,39.7
114715,25.7,39.7
114716,25.7,39.7
114717,25.7,39.7
114719,25.7,39.7
114720,25.7,39.7
114721,25.7,39.7
114722,25.7,39.7
114723,25.7,39.7
114724,25.7,39.7
114725,25.7,39.7
114726,25.7,39.7
114727,25.7,39.7
114728,25.7,39.7
114729,25.7,39.7
114730,25.7,39.7
114731,25.7,39.7
114732,25.7,39.7
114733,25.7,39.7
114734,25.7,39.7
114736,25.7,39.7
114737,25.7,39.7
